"name","online_order","book_table","rate","votes","location","rest_type","dish_liked","cuisines","approx_cost.for.two.people.","listed_in.type.","listed_in.city."
"Chaithanya Delicacy","No","No",3.7,52,"Richmond Road","Casual Dining","Filter Coffee","North Indian, South Indian, Chinese","550","Dine-out","Brigade Road"
"Beijing Bites","Yes","No",3.8,262,"Richmond Road","Casual Dining","Manchurian","Chinese, Thai","850","Dine-out","Brigade Road"
"Liquid Lounge - Hyatt Centric MG Road","No","Yes",4,98,"Ulsoor","Lounge","Cocktails","Finger Food, Continental, Chinese","2,400","Dine-out","Brigade Road"
"Wazir's","Yes","No",3.3,261,"Shanti Nagar","Casual Dining","Biryani","North Indian, Chinese","500","Dine-out","Brigade Road"
"Retro Lounge Bar","No","Yes",3.8,108,"Ulsoor","Bar","Pepper Prawns","North Indian, Chinese","1,400","Dine-out","Brigade Road"
"Northern Gate- Gateway Hotel","No","Yes",3.9,100,"Residency Road","Casual Dining","Cut Fruits","North Indian","1,900","Dine-out","Brigade Road"
"Canopy","No","No",3,107,"MG Road","Casual Dining","Gulab Jamun","North Indian, Continental, Chinese","800","Dine-out","Brigade Road"
"Cafe @ Elanza","No","No",3.7,145,"Richmond Road","Casual Dining, Cafe","Breakfast Buffet","Chinese, North Indian, Cafe","1,000","Dine-out","Brigade Road"
"Mighty Small","No","No",4.1,259,"MG Road","Casual Dining, Bar","Mocktails","Continental, Chinese","1,200","Dine-out","Brigade Road"
"White Plate","No","Yes",4.2,258,"MG Road","Casual Dining, Bar","Cocktails","Thai, Continental, North Indian","1,500","Dine-out","Brigade Road"
"Chai Point","Yes","No",4,132,"Residency Road","Beverage Shop, Quick Bites","Banana Cake","Tea, Beverages, Fast Food","250","Dine-out","Brigade Road"
"Cafe Cerrise","Yes","No",3.8,96,"Ulsoor","Cafe","Bannoffee Pie","Cafe, Continental, Salad","600","Dine-out","Brigade Road"
"Jaisalmer","No","No",3.7,57,"St. Marks Road","Casual Dining","Lunch Buffet","North Indian, Chinese","700","Dine-out","Brigade Road"
"Sunehri","No","No",3.8,67,"Richmond Road","Casual Dining","Buttermilk","South Indian","500","Dine-out","Brigade Road"
"Ottimo - ITC Gardenia","No","Yes",4.3,164,"Richmond Road","Fine Dining","Tiramisu","Italian, Salad","3,000","Dine-out","Brigade Road"
"Stir Fry","No","No",4,209,"Residency Road","Casual Dining","Spring Roll","Chinese, Momos","500","Dine-out","Brigade Road"
"Coco Grove Beer Cafe","No","No",3.8,150,"Church Street","Casual Dining","Sandwiches","Continental","800","Dine-out","Brigade Road"
"Funjabi","Yes","No",3.5,140,"Church Street","Casual Dining","Mango Lassi","North Indian","600","Dine-out","Brigade Road"
"Nandhini Paradise","No","Yes",3.6,277,"St. Marks Road","Casual Dining, Bar","Murgh Ghee Roast","Andhra, Chinese, North Indian","800","Dine-out","Brigade Road"
"Alibi - Maya International Hotel","No","No",1.8,224,"Church Street","Casual Dining","Dj","North Indian, Continental, Chinese","1,200","Dine-out","Brigade Road"
"Nagashree's","No","No",2.9,46,"Shanti Nagar","Casual Dining","Biryani","South Indian, North Indian, Fast Food","550","Dine-out","Brigade Road"
"No 10 Fort Cochin","Yes","Yes",3.8,194,"St. Marks Road","Casual Dining","Fish","Biryani, Kerala, Seafood, South Indian","800","Dine-out","Brigade Road"
"Unicorn Bar & Restaurant","No","No",3.9,119,"Infantry Road","Casual Dining, Bar","Sea Food","Seafood, North Indian, Chinese","800","Dine-out","Brigade Road"
"Spice It","No","No",3.8,52,"Richmond Road","Casual Dining","Noodles","North Indian, Continental, Italian","1,200","Dine-out","Brigade Road"
"Petoo","No","No",3.7,32,"Commercial Street","Casual Dining","Biryani","North Indian, Fast Food, Street Food","800","Dine-out","Brigade Road"
"Taste Of Kerala","No","No",2.2,48,"Residency Road","Casual Dining","Appam","Kerala, Seafood","600","Dine-out","Brigade Road"
"RR Catering","No","No",3.4,10,"MG Road","Quick Bites","Garlic Naan","North Indian, Chinese, Biryani","350","Dine-out","Brigade Road"
"Soul City","No","No",3.8,217,"Lavelle Road","Casual Dining","Pasta","Italian, Chinese, Continental, North Indian, Seafood, Thai","2,000","Dine-out","Brigade Road"
"The Coffee Bean & Tea Leaf","Yes","No",3.8,260,"MG Road","Cafe","Coffee","Cafe","700","Dine-out","Brigade Road"
"C Sharp Kitchen","Yes","No",3.4,50,"Church Street","Casual Dining","Paratha","North Indian, Chinese, European","600","Dine-out","Brigade Road"
"Italia - The Park Bangalore","No","No",3.7,82,"MG Road","Fine Dining","Pasta","Italian","2,500","Dine-out","Brigade Road"
"Berrylicious Cafe","Yes","No",4.1,125,"MG Road","Casual Dining, Cafe","Waffles","Continental, Cafe, Desserts, Pizza, North Indian, Chinese, Ice Cream","900","Dine-out","Brigade Road"
"Kamat's Palate Korner","No","No",4.1,121,"Richmond Road","Casual Dining","Butter Chicken","North Indian, Chinese","600","Dine-out","Brigade Road"
"Mamma Mexicana","Yes","Yes",2.2,406,"MG Road","Casual Dining","Nachos","Mexican","1,000","Dine-out","Brigade Road"
"Glen's Bakehouse","Yes","No",4.4,1087,"Lavelle Road","Bakery, Cafe","Pizza","Bakery, Cafe, Italian, Desserts","600","Dine-out","Brigade Road"
"Airlines Hotel","Yes","No",4,867,"Lavelle Road","Quick Bites","Chole","South Indian, North Indian, Street Food","400","Dine-out","Brigade Road"
"Siddiqu Kabab Center","No","No",4.5,174,"Richmond Road","Quick Bites","Rolls","North Indian, Rolls","250","Dine-out","Brigade Road"
"The Bundle Co.","Yes","No",4.4,222,"MG Road","Quick Bites","Burgers","Burger, Continental, Italian, Beverages","700","Dine-out","Brigade Road"
"Khazana Food Paradise","No","No",4.1,356,"Richmond Road","Quick Bites","Beef Biryani","North Indian, Biryani","400","Dine-out","Brigade Road"
"Bhagatram Sweets","No","No",3.6,221,"Commercial Street","Quick Bites","Gulab Jamun","Street Food, Mithai","300","Dine-out","Brigade Road"
"Mandarin Box","No","No",3.9,80,"Church Street","Quick Bites","Momos","Chinese","500","Dine-out","Brigade Road"
"Indian Coffee House","No","No",4,1217,"Church Street","Quick Bites","Mutton Cutlets","South Indian","200","Dine-out","Brigade Road"
"Amritsari Kulcha Bite","Yes","No",3.9,101,"Ulsoor","Quick Bites","Lassi","North Indian","150","Dine-out","Brigade Road"
"99 Pancakes","Yes","No",4.1,41,"Church Street","Dessert Parlor","Nutella Pancakes","Desserts, Ice Cream","150","Dine-out","Brigade Road"
"Siddappa Hotel","No","No",4.1,274,"Richmond Road","Quick Bites","Masala Dosa","South Indian","150","Dine-out","Brigade Road"
"Lakeview Milkbar","No","No",4,1443,"MG Road","Dessert Parlor, Cafe","Butterscotch Ice Cream","Desserts, Cafe, Fast Food","500","Dine-out","Brigade Road"
"eat.fit","Yes","Yes",4.1,94,"Church Street","Quick Bites","Biryani","Healthy Food, North Indian, Biryani","300","Dine-out","Brigade Road"
"Leon Grill","Yes","No",4.3,284,"St. Marks Road","Quick Bites","Burgers","Burger, Turkish, Arabian, Fast Food, Salad, Healthy Food, Desserts","500","Dine-out","Brigade Road"
"Kentacky Chicken Corner","No","No",4,102,"Richmond Road","Quick Bites","Chicken Curry","Andhra, South Indian","300","Dine-out","Brigade Road"
"Northern Route","Yes","No",4.1,159,"St. Marks Road","Quick Bites","Paratha","North Indian, Street Food","300","Dine-out","Brigade Road"
"Juice Junction","Yes","No",4,101,"St. Marks Road","Quick Bites","Sandwiches","Juices, Fast Food","150","Dine-out","Brigade Road"
"Nisarga Garden","No","No",4,89,"Infantry Road","Quick Bites","Akki Rottis","South Indian, Chinese, Street Food, Juices","300","Dine-out","Brigade Road"
"Shanthi Sagar","Yes","No",4.1,204,"Ulsoor","Quick Bites","Coffee","South Indian, North Indian, Chinese, Juices","250","Dine-out","Brigade Road"
"Stars 'N' Stripes","No","No",2.7,77,"MG Road","Quick Bites","Burgers","North Indian, Chinese, Fast Food","500","Dine-out","Brigade Road"
"Sri Saravana Bhavan","No","No",3.9,75,"Commercial Street","Quick Bites","Filter Coffee","South Indian","150","Dine-out","Brigade Road"
"Koshy's","No","No",3.6,52,"Richmond Road","Bakery, Quick Bites","Plum Cake","Bakery, Fast Food","300","Dine-out","Brigade Road"
"Hotel Fanoos","Yes","No",4,787,"Richmond Road","Quick Bites","Rolls","Arabian, Biryani, Rolls, Kebab","400","Dine-out","Brigade Road"
"Desi Vdesi","Yes","No",3.9,113,"Shanti Nagar","Quick Bites","Rolls","Fast Food, North Indian, Rolls","250","Dine-out","Brigade Road"
"Haji Ali Juice Centre","Yes","No",4,78,"Commercial Street","Quick Bites, Beverage Shop","Sandwiches","Fast Food, Pizza, Rolls, Beverages, Juices","350","Dine-out","Brigade Road"
"Domino's Pizza","Yes","No",3.9,117,"MG Road","Quick Bites","Pizza","Pizza, Fast Food","800","Dine-out","Brigade Road"
"Sri Udupi Park","Yes","No",3.8,106,"Residency Road","Quick Bites","Vada","South Indian, Chinese","200","Dine-out","Brigade Road"
"Vishnu Sagar","No","No",3,33,"Commercial Street","Quick Bites","Pav Bhaji","South Indian, Chinese, North Indian","400","Dine-out","Brigade Road"
"Mathsya Darshini","No","No",3.2,57,"Lavelle Road","Quick Bites","Sea Food","Seafood, Mangalorean","350","Dine-out","Brigade Road"
"SGS Non Veg - Gundu Pulav","Yes","No",3.9,55,"St. Marks Road","Quick Bites","Chilli Chicken","Biryani, Fast Food","400","Dine-out","Brigade Road"
"Masala Oota","Yes","No",3.6,79,"Residency Road","Quick Bites","Donne Chicken Biryani","South Indian, Biryani","500","Dine-out","Brigade Road"
"Mel's Korner","No","No",3.8,95,"Church Street","Quick Bites","Shawarma","Fast Food","500","Dine-out","Brigade Road"
"Hotel Ajantha","No","No",3.9,77,"MG Road","Quick Bites","Masala Dosa","South Indian","200","Dine-out","Brigade Road"
"Donne Biriyani Mane","Yes","No",3.5,62,"Church Street","Quick Bites","Donne Biryani","Biryani, Kebab","400","Dine-out","Brigade Road"
"Tayabbs","No","No",3.7,70,"Ulsoor","Quick Bites","Rolls","Rolls, North Indian, Fast Food","500","Dine-out","Brigade Road"
"Kaati Zone","Yes","No",3.1,163,"Church Street","Quick Bites","Rolls","Fast Food, Biryani, Rolls","350","Dine-out","Brigade Road"
"Foody's","Yes","No",3.8,170,"Shanti Nagar","Quick Bites","Paratha","North Indian, South Indian","250","Dine-out","Brigade Road"
"Firewood Biryani","Yes","No",3.9,454,"Residency Road","Quick Bites","Hariyali Chicken","Biryani, Kebab, Rolls","400","Dine-out","Brigade Road"
"Faasos","Yes","No",3.9,252,"Residency Road","Quick Bites","Rolls","North Indian, Biryani, Fast Food","500","Dine-out","Brigade Road"
"Vasudev Adiga's","No","No",3.7,58,"Church Street","Quick Bites","Masala Dosa","South Indian, North Indian, Chinese, Street Food","250","Dine-out","Brigade Road"
"Mummy Dhaba","Yes","No",3.2,46,"Ulsoor","Quick Bites","Dal Makhani","North Indian","300","Dine-out","Brigade Road"
"Gundappa Donne Biryani","No","No",3.7,160,"St. Marks Road","Quick Bites","Mutton Biryani","Biryani","300","Dine-out","Brigade Road"
"Indy's Comfort Food","No","No",4.1,399,"Shivajinagar","Quick Bites","Gobhi Pakoda","North Indian, Beverages, Fast Food","300","Dine-out","Brigade Road"
"Sagar Chats","No","No",3.8,38,"Commercial Street","Quick Bites","Pav Bhaji","Chinese, Beverages, Street Food","300","Dine-out","Brigade Road"
"Rescafe","No","No",3.8,41,"Residency Road","Quick Bites","Samosa","Beverages","100","Dine-out","Brigade Road"
"Sweet Chariot Cafe","Yes","No",3.8,113,"Residency Road","Dessert Parlor","Chocolate Mousse","Continental, Fast Food, Beverages, Desserts","500","Dine-out","Brigade Road"
"Hammered","Yes","Yes",4.7,4657,"Cunningham Road","Pub, Cafe","Crispy Corn","North Indian, Thai, Japanese, Continental, Cafe","1,300","Dine-out","Brigade Road"
"Eden Park","Yes","Yes",4.1,612,"Cunningham Road","Casual Dining","Pasta","Andhra, Biryani, Chinese, North Indian, Seafood, South Indian","1,100","Dine-out","Brigade Road"
"Pasta Street","Yes","Yes",4.5,1621,"Cunningham Road","Casual Dining","Pasta","Italian, Pizza, Salad","1,300","Dine-out","Brigade Road"
"Dolci Desserts","Yes","No",4.3,652,"Cunningham Road","Cafe, Dessert Parlor","Cappuccino","Cafe, Desserts","750","Dine-out","Brigade Road"
"Skylit - Citrus Hotels","No","Yes",4,323,"Cunningham Road","Lounge","Gulab Jamun","North Indian, Mughlai, Mediterranean","1,300","Dine-out","Brigade Road"
"Banjara Melting Pot","Yes","Yes",4.2,474,"Cunningham Road","Casual Dining","Lamb Curry","North Indian, Chinese, Seafood","1,700","Dine-out","Brigade Road"
"Shezan","Yes","No",4.1,391,"Cunningham Road","Casual Dining","Mudpie","Chinese, Continental, North Indian, Mughlai, Steak","600","Dine-out","Brigade Road"
"Infinitea Tea Room & Tea Store","Yes","Yes",4.3,858,"Cunningham Road","Casual Dining, Cafe","Tea","Continental, Cafe, Desserts, Salad, Momos","1,000","Dine-out","Brigade Road"
"Mudpipe Cafe","Yes","No",4.2,739,"Cunningham Road","Cafe","Sandwiches","Cafe, Continental, Italian, Burger","750","Dine-out","Brigade Road"
"Siddique Kabab Centre","Yes","No",3.9,430,"Frazer Town","Casual Dining","Chicken Grill","Mughlai, Kebab, Chinese","550","Dine-out","Brigade Road"
"Ramana's","Yes","Yes",4,378,"Cunningham Road","Casual Dining","Palak Soup","North Indian, Chinese, Healthy Food","850","Dine-out","Brigade Road"
"Thom's Bakery","No","No",4.1,211,"Frazer Town","Bakery, Quick Bites","Plum Cake","Bakery, Fast Food","200","Dine-out","Brigade Road"
"Red Lantern","Yes","No",3.7,162,"Cunningham Road","Casual Dining","Noodles","Chinese, Thai","700","Dine-out","Brigade Road"
"Chung's Chinese Corner","Yes","No",3.3,201,"Cunningham Road","Casual Dining","Noodles","Chinese","700","Dine-out","Brigade Road"
"Ta'aam","Yes","No",4.1,402,"Cunningham Road","Casual Dining","Laham Mandi","North Indian, Mughlai, Arabian, Chinese","750","Dine-out","Brigade Road"
"Zodiac - Fortune Select JP Cosmos Hotel","Yes","Yes",3.8,91,"Cunningham Road","Casual Dining","Salads","North Indian, South Indian, Chinese, Continental","1,800","Dine-out","Brigade Road"
"One Atria Cafe","No","Yes",3.7,100,"Race Course Road","Casual Dining","Friendly Staff","South Indian, Continental, North Indian","1,600","Dine-out","Brigade Road"
"Maratha Darshan","No","No",4,107,"Cunningham Road","Quick Bites","Biryani","Maharashtrian, North Indian","400","Dine-out","Brigade Road"
"Masala Central","Yes","No",3.7,74,"Frazer Town","Quick Bites","Sandwiches","North Indian","300","Dine-out","Brigade Road"
"Chikkanna Tiffin Room","No","No",4.5,203,"City Market","Quick Bites","Masala Dosa","South Indian","150","Dine-out","Brigade Road"
"Pai Vihar","No","No",3.2,41,"City Market","Quick Bites","Vada","South Indian, Street Food, Chinese, Fast Food","400","Dine-out","Brigade Road"
"California Burrito","No","No",4,53,"Cunningham Road","Quick Bites","Nachos","Mexican, Fast Food","400","Dine-out","Brigade Road"
"BISO - Citrus Hotels","No","Yes",3.9,156,"Cunningham Road","Casual Dining","Fish","North Indian, South Indian, Italian, Continental","1,100","Dine-out","Brigade Road"
"Pizza Stop","Yes","No",3.9,146,"Cunningham Road","Quick Bites","Nachos","Pizza, Italian","600","Dine-out","Brigade Road"
"The French Loaf","Yes","No",2.8,142,"Frazer Town","Bakery, Quick Bites","Coffee","Bakery, Desserts","300","Dine-out","Brigade Road"
"Double Decker","No","Yes",4.3,2651,"Brigade Road","Bar, Casual Dining","Bbq Pizza","Continental, North Indian","1,300","Drinks & nightlife","Brigade Road"
"NoLimmits Lounge and Club","Yes","Yes",4,2103,"Brigade Road","Club","Salads","Chinese, Continental, North Indian, Burger, Pizza","2,000","Drinks & nightlife","Brigade Road"
"Fava","No","Yes",4.4,2039,"Lavelle Road","Casual Dining, Bar","Gnocchi","Healthy Food, Mediterranean, Desserts, Italian, Pizza, Salad, Kebab","1,200","Drinks & nightlife","Brigade Road"
"Arbor Brewing Company","No","Yes",4.5,8375,"Brigade Road","Pub, Microbrewery","Kamikaze","American, Continental, Salad","2,000","Drinks & nightlife","Brigade Road"
"The Permit Room","No","No",4.5,1573,"Brigade Road","Casual Dining, Bar","Cocktails","South Indian","1,500","Drinks & nightlife","Brigade Road"
"ShakesBierre","No","Yes",4.4,256,"Brigade Road","Microbrewery, Casual Dining","Cocktails","Asian, Continental, European, North Indian","1,500","Drinks & nightlife","Brigade Road"
"The Barn - Bar & Kitchen","No","Yes",4.2,240,"Brigade Road","Pub","Cocktails","American, North Indian, Chinese","1,500","Drinks & nightlife","Brigade Road"
"Laughing Llama Gastropub","Yes","Yes",4.3,393,"Brigade Road","Bar, Casual Dining","Pancakes","Finger Food, Continental, Pizza","1,600","Drinks & nightlife","Brigade Road"
"Pecos Classic","No","Yes",4.1,548,"Brigade Road","Pub, Casual Dining","Fried Rice","Finger Food","1,100","Drinks & nightlife","Brigade Road"
"Guzzlers Inn","No","No",4,949,"Brigade Road","Pub","Beer","North Indian, Chinese","1,100","Drinks & nightlife","Brigade Road"
"Le Rock","Yes","No",4,1203,"Brigade Road","Bar, Quick Bites","Cocktails","Continental, Chinese","2,000","Drinks & nightlife","Brigade Road"
"Fusion Lounge","No","No",2,395,"Brigade Road","Lounge","Dance Floor","Finger Food","1,500","Drinks & nightlife","Brigade Road"
"The 13th Floor","No","Yes",4.4,4575,"MG Road","Lounge","Cocktails","Asian, North Indian, Thai","1,700","Drinks & nightlife","Brigade Road"
"Communiti","No","No",4.7,3894,"Residency Road","Microbrewery, Casual Dining","Pizza","Continental, BBQ, Salad","1,500","Drinks & nightlife","Brigade Road"
"Skyye","No","Yes",4.2,3116,"Lavelle Road","Lounge","Cocktails","Continental","2,500","Drinks & nightlife","Brigade Road"
"KazÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©","No","Yes",4.4,858,"Lavelle Road","Fine Dining","Cocktails","Asian, Japanese, Thai","3,000","Drinks & nightlife","Brigade Road"
"Shiro","Yes","Yes",4.4,2229,"Lavelle Road","Fine Dining, Lounge","Sushi","Japanese, Asian","3,000","Drinks & nightlife","Brigade Road"
"Farzi Cafe","No","No",4.4,2392,"Lavelle Road","Casual Dining, Microbrewery","Appletini","Modern Indian","1,500","Drinks & nightlife","Brigade Road"
"Hard Rock Cafe","No","Yes",4.5,5262,"St. Marks Road","Casual Dining, Bar","Burgers","American, BBQ","2,500","Drinks & nightlife","Brigade Road"
"MISU","Yes","Yes",4.6,1211,"St. Marks Road","Casual Dining, Bar","Sushi","Asian, Japanese, Korean, Indonesian, Malaysian, Singaporean","1,700","Drinks & nightlife","Brigade Road"
"Bangalore Brew Works","No","Yes",4.2,2212,"Residency Road","Microbrewery, Lounge","Spaghetti","Continental, Italian","1,700","Drinks & nightlife","Brigade Road"
"Fava","No","Yes",4.4,2039,"Lavelle Road","Casual Dining, Bar","Gnocchi","Healthy Food, Mediterranean, Desserts, Italian, Pizza, Salad, Kebab","1,200","Drinks & nightlife","Brigade Road"
"Soda Bottle Opener Wala","Yes","Yes",4.4,3651,"Lavelle Road","Casual Dining, Irani Cafee","Pancakes","Parsi, North Indian","1,300","Drinks & nightlife","Brigade Road"
"The Bar Stock Exchange","No","No",4.3,606,"St. Marks Road","Pub, Casual Dining","Sangria","Continental, Chinese, North Indian, Finger Food","1,300","Drinks & nightlife","Brigade Road"
"The Biere Club","Yes","Yes",4.3,3484,"Lavelle Road","Pub, Microbrewery","Wheat Beer","Continental, BBQ, Finger Food","1,700","Drinks & nightlife","Brigade Road"
"SkyDeck By Sherlock's","No","Yes",4.2,1418,"MG Road","Pub, Casual Dining","Salad","Continental, Chinese, Finger Food, North Indian","1,500","Drinks & nightlife","Brigade Road"
"Alchemy - The Chancery Pavilion","No","Yes",4.3,446,"Residency Road","Microbrewery, Casual Dining","Craft Beer","Modern Indian","2,000","Drinks & nightlife","Brigade Road"
"Sanchez","No","No",4.3,1028,"Lavelle Road","Lounge","Nachos","Mexican, Tex-Mex","1,500","Drinks & nightlife","Brigade Road"
"1Q1","No","Yes",4.3,595,"Infantry Road","Casual Dining, Bar","Cocktails","Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese","2,500","Drinks & nightlife","Brigade Road"
"RockSalt","Yes","Yes",4.4,484,"St. Marks Road","Bar, Casual Dining","Roti","Modern Indian","1,900","Drinks & nightlife","Brigade Road"
"Hoppipola","Yes","No",4.3,1703,"Church Street","Lounge","Masala Peanuts","Continental, Mediterranean, European","1,300","Drinks & nightlife","Brigade Road"
"Tree Tops Bar & Kitchen","No","Yes",4.4,108,"Lavelle Road","Casual Dining, Bar","Pasta","North Indian, Chinese, Continental, Italian","1,000","Drinks & nightlife","Brigade Road"
"Bang - The Ritz-Carlton","No","Yes",4.3,474,"Residency Road","Lounge","Paneer Roll","Finger Food","3,000","Drinks & nightlife","Brigade Road"
"Easy Tiger","No","No",4.3,2240,"Church Street","Bar, Casual Dining","Peri Peri Chicken","Finger Food, Continental","1,100","Drinks & nightlife","Brigade Road"
"Capri Gastrobar","No","Yes",4.3,284,"St. Marks Road","Bar, Casual Dining","Cocktails","Mediterranean, Italian, Asian","1,200","Drinks & nightlife","Brigade Road"
"Bangalore Pub Exchange","No","Yes",4.1,209,"MG Road","Pub, Casual Dining","Pizza","Continental, Finger Food, Pizza, North Indian","1,000","Drinks & nightlife","Brigade Road"
"The Open Box","Yes","Yes",4.2,2270,"St. Marks Road","Casual Dining, Bar","Mocktails","European, North Indian, Mediterranean, Asian, Salad","1,400","Drinks & nightlife","Brigade Road"
"Russh Gastropub","No","No",4.2,1279,"Church Street","Pub","Cocktails","Continental, Italian, Burger","1,100","Drinks & nightlife","Brigade Road"
"20 Feet High","Yes","Yes",4,932,"Church Street","Casual Dining, Bar","Burgers","American, Continental, Steak, Salad","1,000","Drinks & nightlife","Brigade Road"
"Amber Rush Restobar","No","Yes",4.1,93,"Residency Road","Pub","Cocktails","Continental, Chinese, Fast Food","1,000","Drinks & nightlife","Brigade Road"
"Plan B","No","No",4.2,2020,"Shanti Nagar","Casual Dining, Pub","Chicken Wings","American, Finger Food, BBQ, Steak","1,200","Drinks & nightlife","Brigade Road"
"Coconut Grove","No","Yes",3.9,680,"Church Street","Casual Dining, Bar","Beer","South Indian, Chettinad, Kerala, Seafood","1,200","Drinks & nightlife","Brigade Road"
"Smaaash","No","Yes",4.2,538,"MG Road","Casual Dining, Pub","Pizza","North Indian, Pizza, Chinese","1,500","Drinks & nightlife","Brigade Road"
"Chin Lung Resto Bar","No","No",3.9,378,"Residency Road","Bar","Masala Peanuts","North Indian, Chinese, Fast Food","1,000","Drinks & nightlife","Brigade Road"
"Fuel Resto Bar","No","No",4.2,38,"Richmond Road","Bar","Cocktails","Finger Food, Mediterranean, North Indian","2,000","Drinks & nightlife","Brigade Road"
"Bootlegger","No","No",4.1,1543,"Lavelle Road","Pub","Beer","Continental, Steak","1,200","Drinks & nightlife","Brigade Road"
"Ice - Taj MG Road Bengaluru","No","Yes",4.1,608,"MG Road","Club","Cocktails","Continental","2,800","Drinks & nightlife","Brigade Road"
"i-Bar - The Park Bangalore","No","No",3.8,617,"MG Road","Lounge","Fish Fingers","North Indian, Chinese, Mediterranean","3,000","Drinks & nightlife","Brigade Road"
"Chugg","No","Yes",3.9,747,"Church Street","Pub","Beer","Finger Food, Continental, Asian, North Indian","1,500","Drinks & nightlife","Brigade Road"
"Scottish Pub","No","No",3.9,191,"St. Marks Road","Bar","Wine","Finger Food","600","Drinks & nightlife","Brigade Road"
"WYT RestroPub","No","No",2.7,402,"MG Road","Pub","Tandoori Chicken","North Indian, Chinese","1,000","Drinks & nightlife","Brigade Road"
"ThrowBack - Pub & Dine","No","No",3.9,234,"Langford Town","Bar, Casual Dining","Cocktails","Italian, North Indian, Continental","1,000","Drinks & nightlife","Brigade Road"
"Downtown","No","No",3.7,293,"Residency Road","Pub","Beer","North Indian, Continental","1,000","Drinks & nightlife","Brigade Road"
"The Ritz-Carlton Bar - The Ritz-Carlton","No","No",4,93,"Residency Road","Lounge","Decor","Finger Food","2,000","Drinks & nightlife","Brigade Road"
"Slounge - Lemon Tree Premier","No","No",4,62,"Ulsoor","Lounge","Pool Table","Finger Food","1,500","Drinks & nightlife","Brigade Road"
"Aqua - The Park Bangalore","No","Yes",4,196,"MG Road","Lounge, Bar","Cocktails","North Indian, Mediterranean, Chinese","3,000","Drinks & nightlife","Brigade Road"
"Strikers Sports Bar and Music","No","Yes",3.8,73,"Shanti Nagar","Bar","Beer","Continental, North Indian, Chinese","1,200","Drinks & nightlife","Brigade Road"
"Bar UNO - JW Marriott Bengaluru","No","No",3.9,72,"Lavelle Road","Lounge","Cocktails","Spanish","2,500","Drinks & nightlife","Brigade Road"
"Liquid Lounge - Hyatt Centric MG Road","No","Yes",4,98,"Ulsoor","Lounge","Cocktails","Finger Food, Continental, Chinese","2,400","Drinks & nightlife","Brigade Road"
"Retro Lounge Bar","No","Yes",3.8,108,"Ulsoor","Bar","Pepper Prawns","North Indian, Chinese","1,400","Drinks & nightlife","Brigade Road"
"Mighty Small","No","No",4.1,259,"MG Road","Casual Dining, Bar","Mocktails","Continental, Chinese","1,200","Drinks & nightlife","Brigade Road"
"White Plate","No","Yes",4.2,258,"MG Road","Casual Dining, Bar","Cocktails","Thai, Continental, North Indian","1,500","Drinks & nightlife","Brigade Road"
"Hammered","Yes","Yes",4.7,4657,"Cunningham Road","Pub, Cafe","Crispy Corn","North Indian, Thai, Japanese, Continental, Cafe","1,300","Drinks & nightlife","Brigade Road"
"Skylit - Citrus Hotels","No","Yes",4,323,"Cunningham Road","Lounge","Gulab Jamun","North Indian, Mughlai, Mediterranean","1,300","Drinks & nightlife","Brigade Road"
"Haagen Dazs","Yes","No",3.9,77,"Koramangala 7th Block","Dessert Parlor","Waffles","Ice Cream, Desserts","800","Pubs and bars","Brigade Road"
"Maxpresso","Yes","No",4.1,323,"Koramangala 7th Block","Cafe","Burgers","Cafe, American, Italian, Beverages","700","Pubs and bars","Brigade Road"
"Haji Ali Juice Centre","Yes","No",4,152,"Koramangala 5th Block","Beverage Shop, Quick Bites","Faluda","Beverages, Fast Food, Desserts","350","Pubs and bars","Brigade Road"
"Cookie Man","Yes","No",4,100,"Koramangala 7th Block","Dessert Parlor","Chocolate Chip Cookie","Bakery","150","Pubs and bars","Brigade Road"
"Gelato Italiano","Yes","No",3.9,110,"Koramangala 5th Block","Dessert Parlor","Gelato","Ice Cream, Bakery, Desserts","200","Pubs and bars","Brigade Road"
"Juicy","No","No",3.9,43,"Koramangala 5th Block","Beverage Shop","Sandwiches","Beverages, Juices, Fast Food","200","Pubs and bars","Brigade Road"
"The French Loaf","No","No",3.8,34,"Koramangala 5th Block","Bakery","Sandwiches","Bakery, Desserts, Sandwich","400","Pubs and bars","Brigade Road"
"Lakeview Milkbar","No","No",3.8,286,"Koramangala 8th Block","Dessert Parlor, Cafe","Burgers","Desserts, Cafe, Fast Food","500","Pubs and bars","Brigade Road"
"Bansuri Sweets","No","No",3.7,73,"Koramangala 6th Block","Sweet Shop, Quick Bites","Thali","Mithai, North Indian, Street Food","250","Pubs and bars","Brigade Road"
"Oh! Calcutta","Yes","Yes",4.4,1110,"Church Street","Casual Dining, Bar","Fish","Bengali, Seafood","1,200","Pubs and bars","Brigade Road"
"The Bar Stock Exchange","No","No",4.3,606,"St. Marks Road","Pub, Casual Dining","Sangria","Continental, Chinese, North Indian, Finger Food","1,300","Pubs and bars","Brigade Road"
"Sunny's","No","Yes",4.1,1327,"Lavelle Road","Casual Dining, Bar","Penne Pasta","European, Italian, Seafood, Continental","2,100","Pubs and bars","Brigade Road"
